"","Flavor"
"4339","Bone, stone . . . both taste the same to a hungry basilisk."
"4340","Few have seen the inner workings of Ravnica's furnaces, but neighboring districts catch brief glimpses in the horrors that escape the flames."
"4341","""To examine the causes of life, we must first have recourse to death."" —Mary Shelley, Frankenstein"
"4342","Man's best fungus."
"4343","A sandwurm can lie in wait beneath the sands for years until the slightest tremor alerts it to the presence of prey."
"4344","Having charted their way up the difficult face, the two mountaineers had to contend with the mountain's decision to stand up."
"4345","""Two legs by day, four legs by night, eyes raging in storm-gotten might."" —Ancient Northland riddle"
"4346","Kuldotha, wellspring of molten metal, temple of the goblin horde."
"4347","The great hart stood like a statue, its hide painted gold by the dawn. The Champion laid down her weapons and stepped forward within an arm's length of the beast. The hart, sacred to Heliod and bathed in the god's own light, bowed to the Champion, marking her as the Chosen of the Sun God. —The Theriad"
"4348","Perfectly suited for life in the Shifting Wastes, the krushok is well protected by its horn, its hide, and its temper."
"4349","His roots reach deep and grip hard."
"4350","Ineffable and incorruptible."
"4351","The only blow that matters is the killing blow."
"4352","""As a great whale dies, it flips onto its back. And so an island is born."" —Mariners' legend"
"4353","What is a sliver of one's soul compared to unimaginable wealth?"
"4354","""You're Latulla's gift to me, and I always play with my presents."""
"4355","Greel's grin is far less loathsome than his touch."
"4356","Subtlety is not a necessary part of sabotage."
"4357","""Our ancestors adapted to this world of metal. Just as they did, we will adapt to this world of evil."""
"4358","""A rumor passes among the snakes, whispered by the rushes, inspiring the seekers: the goddess Freyalise is alive in Skyshroud."""
"4359","""The Izzet may incite war, but my duty is here. I will not abandon the wild."""
"4360","As the green sun crowned, Phyrexian prophecies glowed on the Tree of Tales."
"4361","The other tribes call them fanatics, but none deny that the Mul Daya elves have an iron-strong bond to some force greater than themselves."
"4362","""I will not rest until every vestige of the Consulate—every banner, flag, and standard—has fallen."""
"4363","""You burn. I'll pillage."""
"4364","""Their guards are soft, ready to welcome a sharp dagger."""
"4365","""One tiny peg pulled from a single wagon wheel, and an entire district grinds to a halt."" —Lazav"
"4366","The vedalken protect the Knowledge Pool at any cost."
"4367","""Where are falling feathers deadlier than falling rock?"" —The One Thousand Questions"
"4368","Some griffins are able to pluck mystic auras from the Aether that are hidden from other mortals."
"4369","The drums of war stir the hearts of all who fight for righteousness."
"4370","After fighting alongside the griffin riders, older knights of Thune learned to admire a mount that could rip an enemy to shreds in seconds."
"4371","Once a griffin sentinel adopts a territory as its own, only death can force it to betray its post."
"4372","Even the small wounds let hope bleed out."
"4373","""I love what they've done with the place."" —Liliana Vess"
"4374","When the battle is over, the bitterest foes at last find common ground."
"4375","Even on a world of metal, there are those who thirst for blood."
"4376","The invader hoped he could survive the beast's jaws and emerge through its rotting skin."
"4377","Few among the living understand just how much of their world is shaped by the ruins of the dead."
"4378","""Hmmm—midnight snack."""
"4379","""Nothing in nature goes to waste, not even the rotting corpse of a good-for-nothing, blood-sucking vampire."" —Halana of Ulvenwald"
"4380","Occasionally the living wander to the Rivers, but the wardens of Athreos ensure that only the dead pass."
"4381","""We all want to know what's going on in someone else's head. I simply open it up and look."""
"4382","""Fools dig for water, corpses, or gold. The earth's real treasure is far deeper."""
"4383","Part prison, part home."
"4384","Beware a scarecrow bearing gifts—especially sloshing vessels of acid."
"4385","The necromancer's touch strips away memory and loyalty, and only strength and malice remain."
"4386","He'll point you to your death row seats."
"4387","""As a child I saw something walking in the distance, far beyond the Hekma—shadow-dark, and taller than the gods. Even now, it passes through my dreams."" —Pytamun, initiate of Nef crop"
"4388","One who goes unpunished never learns. —Greek proverb"
"4389","Pray you never hear it chime."
"4390","""Memory is a burden that wears at the soul as weather wears at stone."" —Crovax"
"4391","It's drawn to the scent of screaming."
"4392","""Take care what you offer the ignus. Food, perhaps. Coins. But nothing flammable!"" —Stovic, village eccentric"
"4393","""Would you abandon your past to save your future?"" —Ambassador Laquatus"
"4394","When the world is consumed by chaos, the skilled and the foolish are on equal footing."
"4395","As the hand closed, there was first terror, then numbness, and finally nothingness."
"4396","""Even your blade knows who will triumph here."" —Atraxa, Praetors' Voice"
"4397","""Beware the seagrafs just off the shore. These waters are filled with hungry geists looking for an easy meal."" —Captain Eberhart"
"4398","""Avacyn emerged from the broken Helvault, but her freedom came at a price—him."" —Thalia, Knight-Cathar"
"4399","To the Golgari, anything buried is treasure."
"4400","""Watch people flock to a murder scene. Then tell me we're not all a little sick in the head."" —Juri, proprietor of the Juri Revue"
"4401","No cartouches to earn. No afterlife to enter. Only the glory of a well-struck blow and the growing pile of felled enemies at her feet."
"4402","Loyal in battle, hearty in stew."
"4403","""There it was, clawing the ice as it chittered and clicked its teeth. We fled in horror before it unearthed its grisly meal."" —Aevar Borg, northern guide, journal entry"
"4404","Vitals of Grixis who eschew undeath must scrape and scratch to retain their mortality. The result is a breed of inventive mages."
"4405","""So many choices. Shall I choose loathing, hate, or malice today?"" —Eliza of the Keep"
"4406","""It's simple, really. If they can't find us, they can't kill us."""
"4407","There is no height above Grixis that is free from the stench of death."
"4408","""There is no glory in a death of age, as even the leotau know. As winter steals into their coats, they seek the deadliest lands, that they may die as they lived."" —Aarsil the Blessed"
"4409","Seen as unsavory, the hunters were never allowed in town—until one night they vanished."
"4410","The boot prints became paw prints, and they led right back into town."
"4411","""Before you release a Wolverine from the trap, make sure it's really dead."" —Lovisa Coldeyes, Balduvian Chieftain"
"4412","""We cannot forget that among all of Dominaria's wonders, a system of life exists, with prey and predators that will never fight wars nor vie for ancient power."" —Jolrael, empress of beasts"
"4413","It growls not to threaten, but to summon."
"4414","Mogglings caught in a misdeed often blame the grollub. Even though the creature is usually innocent, no taskmaster can resist an excuse to beat it."
"4415","""I don't think he's bringing in the mail . . . ."" —Nundari, Sea Gate militia captain"
"4416","The goblin fancied himself a rider. The lizard was happy with its new flail."
"4417","""Taking down a dragon is easy. All you need is enough space to get in a good swing."" —Narbulg Nine Fingers"
"4418","The earth's memory is long, its retribution brief."
"4419","""We've tracked Ludevic's monster across four provinces. When it lands, make sure it stays put."" —Alena, trapper of Kessig, to Halana of Ulvenwald"
"4420","Endry was determined to teach his groundlings a few winged-faerie tricks."
"4421","People came from miles away just to see the head of the hammer."
"4422","Some time rifts didn't take away the people but just the ground they stood on."
"4423","""Let all we have buried be buried forever."" —Seton, centaur druid"
"4424","""While the church thinks in terms of legacies, others think in terms of eternities."""
"4425","""This world will not be tamed."""
"4426","Spring is the most beautiful season in the grove, when the new leaves open from their ember-buds in a race of leaping flames."
"4427","""The land will not wait for the enemy to arrive.""—Nissa Revane"
"4428","""The seedlings scream for us to loose them upon the Eldrazi, and we shall oblige."""
"4429","""We will grow an army large enough to withstand the Izzet's madness."" —Trostani"
"4430","MORE TO LOVE: Friendly, nature-loving, Bunyonesque SEM seeks SEF looking for a huge commitment. . . . seeks atog prince"
"4431","""Your defiance is noted."""
"4432","She wanted to inspire terror wherever she went. The demons happily granted her wish."
"4433","""You were keen enough to sink your fangs into us, vampire! And now you're afraid of a few little nibbles?"" —Udvil ""Ratty"" Ratlock"
"4434","Though Gideon arrived at Sea Gate too late to prevent the massacre, he still had enough time to lead its survivors to relative safety."
"4435","""Not Gruul? Then die!"" —Borborygmos"
"4436","Forgotten under rocks and vines, Gruul symbols mark the sites of primitive rituals where shamans once chanted to the wild."
"4437","The scarred rubble around the gate is testament to past meetings of the Clans, summits that inevitably devolved into brawls."
"4438","As perilous and unpredictable as the wilds themselves."
"4439","Petting the nodorog —Gruul expression meaning ""making a really big mistake"""
"4440","""If the other guilds want a war, they should know we've been ready the whole time."" —Ruric Thar, Ghor-Clan chieftain"
"4441","The Gruul aren't satisfied with just smashing things. They continue smashing other things with the things they just smashed."
"4442","Gruul territorial markings need not be legible. The blood, snot, and muck used to smear them are unmistakably Gruul."
"4443","""We are the heart of the wild, the fire in its eyes, and the howl in its throat. Come, join the battle to which you were born."" —Kroshkar, Gruul shaman"
"4444","""Steering apparatus?! What for? Rip it out, sharpen it, and lash it to the front!"" —Ktank, Gruul plowmaster"
"4445","""Ghouls smashed the door, but I heard the call of the gryffs and knew we were saved."" —Ekka, shopkeeper of Hanweir"
"4446","""He Guan Yu covered the ground on a thousand-li horse;/ With dragon blade he took each pass by force."""
"4447","""A good guard is alert. A great guard is also loyal."" —Benalish kennelmaster"
"4448","""I was told these were standard issue. Do I look standard to you?"""
"4449","It lingers near the outposts of the Makindi Trenches, inadvertently granting another layer of defense."
"4450","The wealthy in the city of Ghirapur outfit their lives with grand machines, entrusting even their children to filigree and gears."
"4451","Approach in peace or not at all."
"4452","Although they're protective of all creatures, many treefolk are especially fond of the empathic kithkin."
"4453","Immune to the physical warping caused by Emrakul, geists proved to be some of humanity's most important allies."
"4454","""It seemed an easy thing, to step into the nothingness, to fall, to die. But then, for an instant, I saw it, eyes filled with endless sorrow, and I turned back to face my pain."" —Snow-Fur, kitsune poet"
"4455","""At my feet, invasions end."" —Statue inscription"
"4456","The magic of the Guildpact gives aegis to the spirits pressed into its service. Upon entering the afterlife, they find new focus and are charged with defending the Guildpact against those who would see it broken."
"4457","It stands sentinel to the great City-Tree, home of the Selesnya Conclave."
"4458","Her gaze prevents the petty sins and her sword punishes the rest."
"4459","The soldier moved with fluid poise, his awareness extending far beyond five senses."
"4460","""Only by the bravery of those who put loyalty above glory is our home kept safe."" —Elspeth Tirel"
"4461","Archaeologists depend on automatons inspired by their precious discoveries at Koilos to guard the excavations."
"4462","The histories speak of two feuding rulers whose deaths were celebrated and whose monuments symbolized the end of their wars. In truth they were peaceful lovers, their story lost to the ages."
"4463","A dozen fighting for each other are worth a thousand fighting for themselves."
"4464","The small are mostly ignored by dragons."
"4465","""May the Ancestor strengthen my hand and guide my blade."" —Nomad war prayer"
"4466","""Retainer of eternal Sun! Life flash again upon thy wings."" —""Song to the Sun,"" Femeref song"
"4467","""The Gateless have risen. The Ten shall fall."" —Ninth District graffiti"
"4468","Those who most feel guilt don't need to, while those who most need to feel guilt never do. —Order proverb"
"4469","""Fire will eventually destroy a zombie, but a fiery zombie destroys a lot of other things first."" —Rem Karolus, Blade of the Inquisitors"
"4470","If it could capture the power it wastes, it would be invincible."
"4471","When the giant returned for the night, he found a dead merfolk on his pillow. Although he praised the little guma, he inwardly wondered where she had hid the head."
"4472","If everything in the Gurmag Swamp hungers for human flesh, what bait could be more effective?"
"4473","""Anything a falcon can do, a bat can do in pitch darkness."" —Urdnan the Wanderer"
"4474","""Now I lay me down to sleep What are you starin' at?"""
"4475","Don't trust your secrets to the sea."
"4476","Banking steeply, the aven streaked toward the ground—and vanished."
"4477","Cabal spies trying to follow the Order's movements are constantly frustrated by tracks that stop dead."
"4478","""Our death-arrows flew in high arcs towards the aven. And then . . . nothing."" —Coliseum guard"
"4479","Entire platoons have mysteriously vanished from battle, leaving enemy weapons to slice through empty air."
"4480","They're trained in the art of pressing their luck."
"4481","""The elves claim the canopy. The nacatl claim the mountains. I suppose you think we ought to stay on the jungle floor?"""
"4482","Phyrexian smog clouds choked the skies, threatening creatures who couldn't comprehend the menace below."
"4483","""I'm never unarmed."""
"4484","""Make sure those wretches feed only upon the plagued. The blood of the healthy is reserved for me alone."" —Garza Zol, plague queen"
"4485","""Down here, we have a more pointed version of the scriptures."" —Urabrask's enforcer"
"4486","Upon finding his warehouse infested, Gaven didn't know whether to get an exterminator or an exorcist."
"4487","""I found a new toy. Wanna play?"""
"4488","A savage cry with the power to shatter minds."
"4489","""Blood drips. Blood sings. Blood devours all and only blood remains."" —Ogre chant"
"4490","""A creature's bloodscent is a beacon that cannot be disguised."""
"4491","""Everyone has a price."""
"4492","Urborg became the final resting place of many swordsmen of renown, their steel outmatched by the wiles of Gwendlyn."
"4493","""This aura threatens the sanctity of your soul. Wrenching it free won't be easy on either of us. If you're ready, we'll begin."""
"4494","The Haazda shield is broad, protecting both the free and the guilded."
"4495","They've been probation officers, army grunts, bounty hunters—anything to make their district safer."
"4496","""I toiled in Kazuul's mines when I was eight. I think I'm tough enough for a little hiking."""
"4497","Hadana seeks power in the service of peace."
"4498","The creatures of Zendikar are opportunists, eating whatever is available to them. Like goblins. Or boats."
"4499","""When exploring the darkest regions, wickedness can be the best accomplice of all."""
"4500","""It's hard to find their weak points, but I very much enjoy the discovery process."""
"4501","""Do not let a single shaft loose until my word. And when I give that word, do not leave a single shaft in Eiganjo."" —General Takeno"
"4502","""If they can't take the hail, they'd better stay home."" —Arna Kennerüd, skycaptain"
"4503","""The Kami War drove many members of Konda's court insane. As their spiritual world turned against them, so too did their minds turn from reality."" —The History of Kamigawa"
"4504","His reputation precedes him—and so does his weapon."
"4505","""Earth to aether, window to wonder, stillness to the sky."" —Glazing incantation"
"4506","Hail from Tolaria the ever changing 'Dane."
"4507","""Quiet the waves? Why would I want to do that?"""
"4508","Heroes act without thought of glory or reward. Accolades are a consequence, not a goal."
"4509","""Bend with the storm, then reply in kind."""
"4510","""I'd rather hear the screams of battle than the quiet that follows."" —Talara, elvish safewright"
"4511","A place to relax, if you have the proper permit."
"4512","""On this site where Kjeld's blood was spilled, let none raise a fist or deny a beggar."" —Halvor Arenson, Kjeldoran priest"
"4513","Creatures of darkness instinctively hide from the light."
"4514","Hanging on the walls of his lair, the fallen halos cast his depravity in everlasting light."
"4515","An artificer's least favorite mind-missive may be ""I regret to inform you that the funding for your project has been cut."""
"4516","""If you live on a giant's back, there's only one individual you'll ever need to fear."" —Gaddock Teeg"
"4517","""Bloodsuckers, howlers, monsters from the beyond . . . it doesn't much matter. I won't have to face them alone."""
"4518","It's less ""music"" and more ""straightforward hearing damage."""
"4519","""Oh sure, they buy a lot of ale, but I always find myself needing to rebuild after the giants have paid a visit.""—Belko, owner of Titan's Keg tavern"
"4520","Cross the eyes of a hammerhead and you'll dot its teeth."
"4521","""'Tis distance lends enchantment to the view,/ And robes the mountain in its azure hue."" —Thomas Campbell, ""Pleasures of Hope"""
"4522","""Need a hammer? Gotta get your fix? I know a guy."""
"4523","When he's holding the hammers, everything looks like a nail."
"4524","All the world is Purphoros's anvil."
"4525","By hammer forged, and by hammer undone."
"4526","The most powerful of akki fire spells were developed at the cost of blood, toil, tears, sweat, and usually a nose or two."
"4527","It grew in lands lit by pride and watered by tears."
"4528","""That was fun Now me."" —Gwendlyn Di Corci"
"4529","""The sword is just a tool. It is the samurai's hand that delivers death."""
"4530","The touch of death is never gentle."
"4531","""I believed in a beautiful god. But this is the true face of the divine."" —Ayli, Kamsa cleric"
"4532","""The sword is just a tool. It is the samurai's hand that brings it to life."""
"4533","""The Hand of Justice will come to cleanse the world if we are true."" —Oliver Farrel"
"4534","Silumgar trains those whom he favors in his magic, granting them the ability to spread his disdain across the land."
"4535","The match between Tahngarth and Greven was close only in the mind of the minotaur."
"4536","Early testing failed because the clones were all thumbs."
"4537","""I protect the Legacy with my life if necessary, for its purpose is far more important than my own."" —Hanna, Weatherlight navigator"
"4538","""I never thought I'd spend my life fighting. I'm a maker, not a destroyer."""
"4539","Her reputation inspires both loyalty and adoration."
"4540","He scans for wolves, knowing there's one he can never anticipate."
"4541","Technically he never left his post. He looks after the wolf wherever it goes."
"4542","""If you fear poisons, it is because you are ignorant of them."" —Hapatra, vizier of poisons"
"4543","Her subtle smile is suffused with venom."
"4544","Scholars possess such lofty knowledge that it shouldn't be surprising when they fall."
"4545","""I care nothing for treasure. The land beckons me, and I cannot rest until my feet have touched every inch of it."""
"4546","Embrace the Harbinger —Suq'Ata expression meaning ""abandon hope"""
"4547","An Atarka dragon's exhale cooks what its inhale consumes."
"4548","He always drops a little trinket into the bay as thanks to the merfolk who taught him all his best tricks."
"4549","""Our guardian levies a tax on all traders. Wise travelers pay with a minimum of fuss."" —Qhattib, Vizier of Amiqat"
"4550","Like most giant monsters villagers worship as gods, it proves a fickle master."
"4551","""Just let him loose and follow the charge."" —Yikaro, Atarka warrior"
"4552","""Naga shed their scales. We wear ours with pride."" —Golran, dragonscale captain"
"4553","For the Sun Empire, the Immortal Sun is a symbol of national identity. When they reclaim it, the Empire will flourish once more."
"4554","""One moment I was walking along the beach, and the next I was high in the air, staring into a hideous smiling face."" —Tarub, Suq'Ata sailor"
"4555","After encasing it in a paralyzing beam of light, the angel studied the Eldrazi as a child would study a bug, curiously and without fear."
"4556","""Such an adorable face!"""
"4557","When the eternal stars align, can mere mortals resist?"
"4558","""Since the last sliver arrived, even our mightiest relics splinter into shards as soon as we bring them against the hive."" —Llanach, Skyshroud ranger"
"4559","""Words lie. People lie. The land tells the truth."""
"4560","Even when fate is already written, there's always time to change the names."
"4561","""There is no place like a rooftop laboratory in a lightning storm. It's where genius strikes."" —Renna, Selhoff alchemist"
"4562","Made from whiskergill bones, merrow spinebows can fire bolts through tree trunks."
"4563","Moon Market merchants sell a bottled scent to cutpurses and other criminals. Those doused in the liquid become ""griffin bait."""
"4564","She trusts that the potent poisons of her darts will reach the enemy before the enemy reaches her."
"4565","No spot in nature is truly barren."
"4566","""There are always fools who attempt to traverse Kruin Pass before sundown and every time they wind up in a race for their lives."" —Old Rutstein"
"4567","""At least they remember me."" —Gerrard"
"4568","""Fight through it."""
"4569","""There is no greater burden than choosing who to save."" —Kamahl, druid acolyte"
"4570","""If you've done nothing wrong, you have nothing to fear."" —Enforcer-Chief Ranaj"
"4571","The Shifting Wastes provide refuge to those who know where to look for it."
"4572","""In the end, the same soil lies atop the field, within the mountain, and under the sea."""
"4573","""He is judge, jury, and executioner because he killed them all."" —Bishop Cawle of Elgaud"
"4574","Having no interest in the greater conflict, the trolls continue to prey upon whatever wanders into their domain."
"4575","Not all shields are forged of iron or bronze."
"4576","She speaks only in vile epithets, spitting out curses and obscenities that harm others just by the hearing."
"4577","The harvest is never finished."
"4578","""Why should one limit oneself to the resources at hand?"""
"4579","Corpses destroyed by fire form the most destructive geists."
"4580","A true reflection of nature: death fostering life."
"4581","The wurm's weave —Elvish expression meaning ""plowed fields"""
"4582","""It's not much for eating, but I think we can find somethin' to do with it."""
"4583","So wondrous to behold, so delicate and finely crafted—and yet, such a pleasure to smash."
"4584","It has no safe side."
"4585","""Let my hate fuel your fury."""
"4586","""I will flay the skin from your flesh and the flesh from your bones and scrape your bones dry. And still you will not have suffered enough."" —Greven il-Vec, to Gerrard"
"4587","Bear the weight of so many spirits and you'll surrender civility and restraint to savagery and instinct."
"4588","It seemed as if no one wanted them to reach the Henge of Ramos—not even the dead."
"4589","A ghoulcaller's playground."
"4590","""Drain the victim's blood, sell the corpse, and use the soul on guard duty. No muss, no fuss, no problems."" —Olivia Voldaren"
"4591","The Dimir employ the spirits of Ravnica's ancient, nameless dead, guiding their malevolence toward selected victims."
"4592","Like some foul herdbeast, it grazes on the dead."
"4593","The hymn's melody has persisted since Tourach's time, but the words changed to invoke the phobias of each listener."
"4594","""I am condemned without end."" —Crovax"
"4595","These devices lured so many spirits that sometimes entire battlefields would become haunted at once."
"4596","Fusing intelligence with the power of undeath requires inspiration of the darkest kind."
"4597","""So many corpses, so little time."""
"4598","An abomination so violent that the other fiends tremble at the sight of it."
"4599","""That slowly decreasing pulse—that's the beat I waltz to."""
"4600","Time rifts bring tunneling beasts of old into the hard, dry earth of the present. Most die there, trapped, but the mightiest burst through the surface."
"4601","As Orim put the lightning rod into place on the bow, she cast a spell of protection to shield herself from the heat. That's when the Furnace got personal."
"4602","A cry of pain as it enters this world. A chorus of screams as it leaves."
"4603","""We can't control enemies who have no regard for their own survival."" —Arrester Lavinia, Tenth Precinct"
"4604","It grew with a terrible swiftness."
"4605","Each day at dusk the birds above the canopy grow silent."
"4606","""There are many reasons we invent, of which survival is not the least."""
"4607","""Soon, Serra will return and choose the Abbot's successor, else we are lost."" —Gulsen, Abbey Matron"
"4608","Its breath leaves its prey too drowsy to struggle."
"4609","Few can overcome an assault of such aggressive serenity."
"4610","""The hazerider danced in the thunderstorm and sang to its music."" —Afari, Tales"
"4611","Hazoret's gift is bestowed only once."
"4612","""The worthy shall rush to the God-Pharaoh's side with relentless zeal, rising to overcome every obstacle."" —Monument inscription"
"4613","They hide in dreams and whispers and faraway thoughts."
"4614",""". . . The ghost rides forth to the scene of battle in nightly quest of his head . . . he sometimes passes along the Hollow, like a midnight blast . . ."" —Washington Irving, The Legend of Sleepy Hollow"
"4615","A head is a needless encumbrance when muscle is all that's required."
"4616","A landslide of goblins poured toward the defenders—tumbling, rolling, and bouncing their way down the steep hillside."
"4617","""Your headstone is the last page in the book of your life."" —Murat, Death Speaker"
"4618","""Watch your backs, keep your blades at hand, and let the orc go first!"" —Captain Brandis Thorn"
"4619","""The elders say that if the intruders discovered the secret of the golden city, it would mean an end to our people."""
"4620","""Sometimes even the smallest boon can save a life."" —Halvor Arenson, Kjeldoran Priest"
"4621","""No life is without meaning. No living thing is too small to be strong."""
"4622","""Whatever faith you have in Serra, she has more in you."" —Lyra Dawnbringer"
"4623","The ethereal touch brings relief. The physical touch brings peace."
"4624","The elves of Llanowar don't trust in alchemy. They rely instead on pure herbs harvested from the forest's sacred heart."
"4625","""Xantcha is recovering. The medicine is slow, but my magic would have killed her."" —Serra, to Urza"
"4626","Elvish battle-magic has evolved two specialties: inflicting wounds that scar, and healing wounds without scarring. Politics determines the recipients of each."
"4627","""I know one night it won't come back. Then I'll know it's truly done its job."" —Braenna, cobblesmith"
"4628","""It is true that we monks hold the key to paradise, but most don't understand that the paradise we guard is the one within."" —Diary of Azusa"
"4629","The flamekin are mere kindling for his warmth."
"4630","Hobgoblins are best left alone. They sharpen their farm implements far more than is necessary for their work in the fields."
"4631","""Every treachery, great or small, begets a spirit that rages at the injustice. Given the opportunity, each will return that treachery to its owner tenfold."" —Sensei Hisoka"
"4632","Hidetsugu held over a dozen oni in blood oath. At his touch, rocks scorched. At his word, cities burned."
"4633","""They won't be winning any beauty pageants, but they'll do the trick."" —Enslow, ghoulcaller of Nephalia"
"4634","For those who reach enlightenment, violence is an unnecessary distraction."
"4635","Ramos bled, and there was fire."
"4636","Designed by an ancient artificer, the finest Mardu bows are carved from dragon bone and strung with the wind itself."
"4637","Gerrard looked all around for the source of the mysterious pulse, and at that moment the slivers boiled forth from the crevasses."
"4638","""Finding a true heartstone is even harder than finding a true heart."" —Hanna"
"4639","""In Llanowar, we tend the forest's boughs and branches. In Yavimaya, we are a part of them."" —Rofellos of Llanowar"
"4640","To snare what lies between worlds takes the patient reach of trees."
"4641","Wind in the trees is soothing, but the same can't be said for trees on the wind."
"4642","Like all other relics, it was left on the Radix by the elves to be destroyed. Unlike all other relics, it persisted."
"4643","His roots reach deep, nurtured not by soil and rain, but by millennia of experience."
"4644","""In all my years in Llanowar I never understood where trees fit in. They are revered by elves and watered on by dogs."" —Mirri of the Weatherlight"
"4645","""Takara, it's me!"" shouted Starke. It was no use—she obeyed Volrath."
"4646","""There was clearly a scream. I'm not sure if there was a mouth."" —Sachir, Akoum Expeditionary House"
"4647","""Better to flare out than to gutter."" —Flamekin expression"
"4648","""Stroke of heat or stroke of blade. Choose your fate, traitor."" —Maraxus of Keld, to Starke"
"4649","""Soldiers wear down and enemies collapse—but the ballista never tires."" —Ballista captain"
"4650","Doors, walls, skulls . . . it matters not. All barriers will be broken."
"4651","Their language may be a cacophonous agglomeration of chittering snorts and mad barking, but the message they send is all too clear."
"4652","His abode was clean and bare, not a morsel in sight. I asked him what he ate, fearing the answer. He smiled and said his faith alone sustained him."
"4653","""You've begun to understand the hedrons' true purpose,"" said Ugin. ""The Eldrazi can be imprisoned.""""And how did that work out last time?"" asked Jace."
"4654","Hedrons perplex minds both great and small."
"4655","""It's endearing, in a mystical, pointy sort of way."" —General Tazri, allied commander"
"4656","The hedrons awoke along with the Eldrazi, forming superstructures that radiated overwhelming magic."
"4657","""Now that it has woken up and wandered off, we should go see what it was guarding."" —Gotzen, Bulwark explorer"
"4658","""I don't care when the hedrons awoke. Why is the question that really matters."" —Anowon, the Ruin Sage"
"4659","""Channel your vitality through me."""
"4660","""Once, I looked to the mists for wisdom. Now I wish only for understanding."""
"4661","""The umber stain of the Thaw will be bleached away. Once again the world will be sharp, white, perfect!"""
"4662","""It startles me how alive one feels on the edge of death."" —Barrin, master wizard"
"4663","Among vampires, there has long been the belief that the urge to feed must be balanced by the poise of nobility."
"4664","The Falkenrath have relinquished all pretense at nobility, losing themselves completely to their all-consuming thirst."
"4665","In the high caves of the Qal Sisma mountains, young hunters quest to hear the echoes of their fierce ancestors."
"4666","""The God-Pharaoh created the Hekma to protect us from the horrors beyond and to surround us in his love."""
"4667","The blessings of Heliod are apparent for all to see."
"4668","Hope kept the defenders aloft, but only courage kept them in the fight."
"4669","He doesn't slow until his spear is weighted with corpses."
"4670","Sometimes you go to hell, and sometimes hell comes to you."
"4671","""High on a throne of royal state . . . insatiate to pursue vain war with heav'n."" —John Milton, Paradise Lost"
"4672","There is no fondness between the hound and its master. There is only a common appreciation of the hunt."
"4673","""I must speak with Momir Vig about creating a water-spouting watchdog."" —Mathvan, Prahv scrollwarden"
"4674","Just when you thought you'd be safe, in the middle of an open field with no Eldrazi around for miles."
"4675","A killing machine from birth."
"4676","Its flight sets the sky itself on fire."
"4677","""The dragon has no pretense of compassion, no false mask of civilization—just hunger, heat, and need."" —Sarkhan Vol"
"4678","Don't let him lead the soldiers, but by all means let him lead the way."
"4679","""Behind every devil's mayhem lurks a demon's scheme."" —Rem Karolus, Blade of the Inquisitors"
"4680","""The rules are clear. If you want to leave, you need only convince another to take your place."""
"4681","The brightness of day turned in an instant to dusk as the swarm descended upon the battlefield."
"4682","""This little prize will cover your head, your spells, your bets, and your behind!"" —Pashad ibn Asim, Suq'Ata trader"
"4683","Whether inspired by fear or by honor, all loyalty lends might."
"4684","Its blessings are as numerous as the stars of Nyx."
"4685","Forged out of flowstone for the queen of Vesuva."
"4686","Centuries before the first peaks of the Oxidda Chain rewrote the laws of magnetism, the golems patrolled Mirrodin's featureless surface unhindered."
"4687","Like so many Thran relics, the wurm engine kept operating long after its creators were gone."
"4688","It is the hub. We are the wheel. —Dryad saying"
"4689","The trumpeters of Arashin are ever alert in their watch over the Great Aerie."
"4690","""Some Eldrazi, their purpose is obvious: suck the life out of the land, birth new Eldrazi. Others aren't so obvious, and those are the ones that make me really nervous.""—Chadir the Navigator"
"4691","""You might as well try to stop the waterfall."""
"4692","""Welcome, one and all! Right this way! Open your eyes, your ears, and your imaginations to the wonders of the Inventors' Fair!"""
"4693","The distinction of bearing the gods' banner is nothing compared to the glory of being closer to Nyx."
"4694","""Apply orange leaf to a wound at dawn to clean it, at dusk to prevent the same injury from happening again."" —Kithkin superstition"
"4695","Long ago, the solitary gnarr was a sign of good luck. Now they have become wild pack hunters, a sign of impending danger."
"4696","""Study the great spirits of our age and those of the past. Prune secrets from the branching traceries of our lineage."" —Twila, Gilt-Leaf archdruid"
"4697","""Books can be replaced; a prize student cannot. Be patient."" —Urza, to Barrin"
"4698","Seeking the company of plants ensures that your wits will go to seed."
"4699","He hates company . . ."
"4700",". . . but he'll have you for lunch."
"4701","Travelers' tales claim that hydras bite off their own heads to make themselves deadlier."
"4702","They share no bloodline, but a bond greater than family unites them. Such are the gifts of the Worldsoul."
"4703","""Wear courage as your armor. Wield honor as your blade."" —Gerrard"
"4704","""Wherever the strong would harm the weak, I will be there."" —Ajani Goldmane"
"4705","Sigarda was the last uncorrupted archangel, but she would not have to fight alone."
"4706","""They seek to break us. Let us show them our strength!"""
"4707","""My left has felled a cyclops. My right has slain a giant. I bring both to every fight."""
"4708","""You cannot achieve greatness if its seed has not already been planted in your heart."""
"4709","The best swords are forged with dragonfire."
"4710","""What will it say on our graves, Lord Konda? Will it say we led our world to conquer immortal forces or that we were crushed by our own arrogance? At each defeat, I wonder."" —Sensei Hisoka, letter to Lord Konda"
"4711","Destiny exalts a chosen few, but even heroes break."
